Conflict -- Danger of crashing
Robot 1 considering new position <22,39> at step 36
Robot 2 considering new position <22,39> at step 37
Resolving -- Robot 2 considering new alternative position <21,40> at step 37
** End of Conflict **
First Robot | Second Robot | Step
    (17,41)    Wait for 1st      203
    (18,41)    Wait for 1st      204
    (19,41)    Wait for 1st      205
    (20,41)    Wait for 1st      206
    (21,41)    Wait for 1st      207
    (22,41)    Wait for 1st      208
    (23,41)    Wait for 1st      209
    (24,41)    Wait for 1st      210
    (25,41)    Wait for 1st      211
    (26,41)    Wait for 1st      212
    (27,41)    Wait for 1st      213
    (28,41)    Wait for 1st      214
    (29,41)    Wait for 1st      215
    (30,41)    Wait for 1st      216
    (30,40)    Wait for 1st      217
    (30,39)    Wait for 1st      218
    (30,38)    Wait for 1st      219
    (31,38)    Wait for 1st      220
    (31,37)    Wait for 1st      221
    (32,37)    Wait for 1st      222
    (32,36)    Wait for 1st      223
    (32,35)    Wait for 1st      224
    (32,34)    Wait for 1st      225
    (33,34)    Wait for 1st      226
    (34,34)    Wait for 1st      227
    (35,34)    Wait for 1st      228
    (36,34)    Wait for 1st      229
    (37,34)    Wait for 1st      230
    (37,33)    Wait for 1st      231
    (37,32)    Wait for 1st      232
    (38,32)    Wait for 1st      233
    (38,31)    Wait for 1st      234
    (38,30)    Wait for 1st      235
    (38,29)    Wait for 1st      236
    (37,29)    Wait for 1st      237
    (37,28)    Wait for 1st      238
    (36,28)    Wait for 1st      239
    (36,27)    Wait for 1st      240
    (36,26)    Wait for 1st      241
    (37,26)    Wait for 1st      242
    (37,25)    Wait for 1st      243
    (37,24)    Wait for 1st      244
    (37,23)    Wait for 1st      245
    (38,23)    Wait for 1st      246
    (38,22)    Wait for 1st      247
    (38,21)    Wait for 1st      248
    (37,21)    Wait for 1st      249
    (37,20)    Wait for 1st      250
    (37,19)    Wait for 1st      251
    (37,18)    Wait for 1st      252
    (37,17)    Wait for 1st      253
    (37,16)    Wait for 1st      254
    (37,15)    Wait for 1st      255
    (36,15)    Wait for 1st      256
    (36,14)    Wait for 1st      257
    (35,14)    Wait for 1st      258
    (35,13)    Wait for 1st      259
    (35,12)    Wait for 1st      260
    (36,12)    Wait for 1st      261
    (37,12)    Wait for 1st      262
    (37,13)    Wait for 1st      263
    (37,12)        (36 12)         264
    (38,12)        (35 12)         265
    (39,12)        (34 12)         266
    (40,12)        (33 12)         267
    (41,12)        (32 12)         268
    (42,12)        (31 12)         269
    (43,12)        (30 12)         270
    (44,12)        (30 13)         271
    (45,12)        (30 14)         272
    (45,13)        (30 15)         273
    (46,13)        (30 16)         274
    (47,13)        (30 17)         275
    (47,14)        (30 18)         276
    (47,15)        (31 18)         277
    (47,16)        (31 19)         278
    (47,17)        (31 20)         279
    (47,18)        (31 21)         280
    (47,19)        (31 22)         281
    (47,20)        (31 23)         282
    (47,21)        (31 24)         283
    (47,22)        (31 25)         284
    (47,23)        (30 25)         285
    (46,23)        (30 26)         286
    (45,23)    Wait for 1st      287
    (45,24)    Wait for 1st      288
    (45,25)    Wait for 1st      289
    (46,25)    Wait for 1st      290
    (46,26)    Wait for 1st      291
    (47,26)    Wait for 1st      292
    (47,27)    Wait for 1st      293
    (47,28)    Wait for 1st      294
    (47,29)    Wait for 1st      295
    (47,30)    Wait for 1st      296
    (47,31)    Wait for 1st      297
    (48,31)    Wait for 1st      298
    (48,32)    Wait for 1st      299
    (48,33)    Wait for 1st      300
    (47,33)    Wait for 1st      301
    (47,34)    Wait for 1st      302
    (47,35)    Wait for 1st      303
    (47,36)    Wait for 1st      304
    (47,37)    Wait for 1st      305
    (47,38)    Wait for 1st      306
Number of nodes: 1235
