First Robot | Second Robot | Step
    (39,36)        (71 2)         0
    (40,36)        (72 2)         1
    (40,37)        (73 2)         2
    (41,37)        (74 2)         3
    (42,37)        (75 2)         4
    (43,37)        (76 2)         5
    (43,38)        (76 3)         6
    (43,39)        (76 4)         7
    (43,40)        (76 5)         8
    (43,41)        (75 5)         9
    (43,42)        (74 5)         10
    (44,42)        (73 5)         11
    (44,43)        (73 6)         12
    (44,44)        (73 7)         13
    (44,45)        (73 8)         14
    (43,45)        (73 9)         15
    (44,45)        (73 10)         16
    (45,45)        (73 11)         17
    (45,46)        (74 11)         18
    (46,46)        (75 11)         19
    (47,46)        (76 11)         20
    (47,47)        (76 12)         21
    (48,47)        (76 13)         22
    (49,47)        (76 14)         23
    (49,48)        (77 14)         24
    (50,48)        (78 14)         25
    (50,49)        (78 15)         26
    (50,50)        (78 16)         27
    (50,51)        (77 16)         28
    (50,52)        (77 17)         29
    (50,53)        (77 18)         30
    (50,54)        (77 19)         31
    (49,54)        (77 20)         32
    (49,53)        (77 21)         33
    (48,53)        (76 21)         34
    (47,53)        (75 21)         35
    (46,53)        (74 21)         36
    (45,53)        (74 22)         37
    (44,53)        (73 22)         38
    (44,52)        (73 23)         39
    (43,52)        (73 24)         40
    (43,51)        (73 25)         41
    (42,51)        (72 25)         42
    (41,51)        (71 25)         43
    (40,51)        (71 26)         44
    (39,51)        (71 27)         45
    (38,51)        (71 28)         46
    (38,50)        (71 29)         47
    (38,49)        (70 29)         48
    (38,48)        (69 29)         49
    (38,47)        (69 30)         50
    (37,47)        (69 31)         51
    (36,47)        (69 32)         52
    (35,47)        (69 33)         53
    (34,47)        (69 34)         54
    (33,47)        (69 35)         55
    (32,47)        (68 35)         56
    (32,46)        (67 35)         57
    (31,46)        (66 35)         58
    (30,46)        (66 36)         59
    (29,46)        (65 36)         60
    (29,45)        (65 37)         61
    (28,45)        (65 38)         62
    (27,45)        (64 38)         63
    (26,45)        (63 38)         64
    (26,44)        (62 38)         65
    (25,44)        (61 38)         66
    (24,44)        (60 38)         67
    (23,44)        (60 39)         68
    (22,44)        (60 40)         69
    (21,44)        (60 41)         70
    (20,44)        (59 41)         71
    (19,44)        (58 41)         72
    (19,45)        (57 41)         73
    (19,46)        (57 42)         74
    (20,46)        (56 42)         75
    (20,45)        (56 43)         76
    (20,44)        (55 43)         77
    (21,44)        (55 44)         78
    (22,44)        (54 44)         79
    (23,44)        (53 44)         80
    (24,44)        (52 44)         81
    (24,43)        (51 44)         82
    (24,42)        (50 44)         83
    (25,42)        (49 44)         84
    (25,41)        (49 45)         85
    (25,40)        (49 46)         86
    (24,40)        (49 47)         87
    (24,39)        (49 48)         88
    (24,38)        (50 48)         89
    (24,37)        (50 49)         90
    (25,37)        (50 50)         91
    (25,36)        (50 51)         92
    (26,36)        (50 52)         93
    (27,36)        (50 53)         94
    (28,36)        (50 54)         95
    (29,36)        (49 54)         96
    (30,36)        (49 53)         97
    (30,37)        (48 53)         98
    (31,37)        (47 53)         99
    (32,37)        (46 53)         100
    (33,37)        (45 53)         101
    (33,36)        (44 53)         102
    (34,36)        (44 52)         103
    (34,35)        (43 52)         104
    (34,34)        (43 51)         105
    (35,34)        (43 50)         106
    (36,34)        (44 50)         107
    (37,34)        (44 49)         108
    (38,34)        (45 49)         109
    (39,34)        (46 49)         110
    (40,34)        (46 48)         111
    (41,34)        (46 47)         112
    (41,33)        (45 47)         113
    (42,33)        (45 46)         114
    (43,33)        (44 46)         115
    (44,33)        (43 46)         116
    (45,33)        (43 45)         117
    (46,33)        (42 45)         118
    (47,33)        (41 45)         119
    (48,33)        (40 45)         120
    (49,33)        (39 45)         121
    (50,33)        (38 45)         122
    (50,32)        (37 45)         123
    (51,32)        (37 44)         124
    (51,31)        (36 44)         125
    (51,30)        (36 43)         126
    (50,30)        (35 43)         127
    (50,29)        (35 42)         128
    (50,28)        (34 42)         129
    (50,27)        (33 42)         130
    (50,26)        (32 42)         131
    (51,26)        (31 42)         132
    (51,25)        (30 42)         133
    (51,24)        (29 42)         134
    (50,24)        (28 42)         135
    (49,24)        (27 42)         136
    (48,24)        (27 43)         137
    (47,24)        (26 43)         138
    (47,23)        (26 44)         139
    (46,23)        (25 44)         140
    (45,23)        (24 44)         141
    (44,23)        (23 44)         142
    (43,23)        (22 44)         143
    (42,23)        (21 44)         144
    (41,23)        (20 44)         145
    (40,23)        (19 44)         146
    (39,23)        (19 45)         147
    (38,23)        (19 46)         148
    (37,23)        (20 46)         149
    (36,23)        (21 46)         150
    (35,23)        (22 46)         151
    (34,23)        (23 46)         152
    (34,22)        (23 45)         153
    (33,22)        (23 44)         154
    (32,22)        (24 44)         155
    (32,21)        (24 43)         156
    (31,21)        (24 42)         157
    (31,20)        (25 42)         158
    (31,19)        (25 41)         159
    (31,18)        (25 40)         160
    (31,19)        (24 40)         161
    (32,19)        (24 39)         162
    (33,19)        (24 38)         163
    (33,20)        (24 37)         164
    (34,20)        (25 37)         165
    (35,20)        (25 36)         166
    (36,20)        (26 36)         167
    (36,19)        (27 36)         168
    (37,19)        (28 36)         169
    (38,19)        (29 36)         170
    (39,19)        (29 35)         171
    (39,18)        (29 34)         172
    (39,17)        (28 34)         173
    (39,16)        (27 34)         174
    (39,15)        (27 33)         175
    (39,14)        (27 32)         176
    (40,14)        (27 31)         177
    (41,14)        (28 31)         178
    (42,14)        (29 31)         179
    (43,14)        (30 31)         180
    (44,14)        (30 30)         181
    (45,14)        (31 30)         182
    (46,14)        (31 29)         183
    (46,15)        (31 28)         184
    (47,15)        (32 28)         185
    (48,15)        (32 27)         186
    (49,15)        (32 26)         187
    (50,15)        (31 26)         188
    (51,15)        (31 25)         189
    (52,15)        (31 24)         190
    (53,15)        (31 23)         191
    (53,16)        (32 23)         192
    (54,16)        (32 22)         193
    (55,16)        (32 21)         194
    (55,15)        (31 21)         195
    (56,15)        (31 20)         196
    (57,15)        (31 19)         197
    (57,16)        (31 18)         198
    (58,16)        (31 19)         199
    (59,16)        (32 19)         200
    (60,16)        (33 19)         201
    (60,17)        (33 20)         202
    (61,17)        (34 20)         203
    (61,18)        (35 20)         204
    (62,18)        (36 20)         205
    (63,18)        (36 19)         206
    (64,18)        (37 19)         207
    (64,17)        (38 19)         208
    (65,17)        (39 19)         209
    (66,17)        (39 18)         210
    (66,18)        (39 17)         211
